stimulus_set,question_type,sample_id,image_path,filename,figure_type,figure_rotation,number_rotation,number_position_x,number_position_y,number_location_x,number_location_y,relative_location,number_appearance_type,number_appearance,target,model_answer,model
level_2_rotations,visual,level_2_rotations_020_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0020_front.jpg,level_2_rot_image_0020_front.jpg,arrowman_1,10.0,100.0,327,104,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_021_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0021_front.jpg,level_2_rot_image_0021_front.jpg,arrowman_1,10.0,100.0,304,183,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_022_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0022_front.jpg,level_2_rot_image_0022_front.jpg,arrowman_1,10.0,100.0,303,220,right,bottom,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_023_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0023_front.jpg,level_2_rot_image_0023_front.jpg,arrowman_1,10.0,100.0,290,132,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_024_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0024_front.jpg,level_2_rot_image_0024_front.jpg,arrowman_1,10.0,100.0,328,211,right,bottom,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_025_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0025_front.jpg,level_2_rot_image_0025_front.jpg,arrowman_1,10.0,100.0,368,203,right,bottom,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_026_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0026_front.jpg,level_2_rot_image_0026_front.jpg,arrowman_1,10.0,100.0,342,225,right,bottom,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_027_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0027_front.jpg,level_2_rot_image_0027_front.jpg,arrowman_1,10.0,100.0,358,113,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_028_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0028_front.jpg,level_2_rot_image_0028_front.jpg,arrowman_1,10.0,100.0,278,132,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_029_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0029_front.jpg,level_2_rot_image_0029_front.jpg,arrowman_1,10.0,100.0,358,145,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_030_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0030_front.jpg,level_2_rot_image_0030_front.jpg,arrowman_1,10.0,190.0,338,107,right,top,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_031_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0031_front.jpg,level_2_rot_image_0031_front.jpg,arrowman_1,10.0,190.0,321,216,right,bottom,front,figure_perspective,3,3,W,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_032_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0032_front.jpg,level_2_rot_image_0032_front.jpg,arrowman_1,10.0,190.0,274,128,right,top,front,figure_perspective,3,3,W,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_033_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0033_front.jpg,level_2_rot_image_0033_front.jpg,arrowman_1,10.0,190.0,256,210,right,bottom,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_034_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0034_front.jpg,level_2_rot_image_0034_front.jpg,arrowman_1,10.0,190.0,315,220,right,bottom,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_035_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0035_front.jpg,level_2_rot_image_0035_front.jpg,arrowman_1,10.0,190.0,279,143,right,top,front,figure_perspective,3,3,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_036_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0036_front.jpg,level_2_rot_image_0036_front.jpg,arrowman_1,10.0,190.0,275,173,right,top,front,figure_perspective,3,3,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_037_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0037_front.jpg,level_2_rot_image_0037_front.jpg,arrowman_1,10.0,190.0,345,148,right,top,front,figure_perspective,3,3,w,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_038_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0038_front.jpg,level_2_rot_image_0038_front.jpg,arrowman_1,10.0,190.0,302,222,right,bottom,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_039_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0039_front.jpg,level_2_rot_image_0039_front.jpg,arrowman_1,10.0,190.0,339,168,right,top,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_040_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0040_front.jpg,level_2_rot_image_0040_front.jpg,arrowman_1,20.0,290.0,357,168,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_041_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0041_front.jpg,level_2_rot_image_0041_front.jpg,arrowman_1,20.0,290.0,313,108,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_042_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0042_front.jpg,level_2_rot_image_0042_front.jpg,arrowman_1,20.0,290.0,335,32,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_043_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0043_front.jpg,level_2_rot_image_0043_front.jpg,arrowman_1,20.0,290.0,330,189,right,top,front,figure_perspective,M,m,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_044_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0044_front.jpg,level_2_rot_image_0044_front.jpg,arrowman_1,20.0,290.0,332,43,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_045_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0045_front.jpg,level_2_rot_image_0045_front.jpg,arrowman_1,20.0,290.0,299,119,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_046_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0046_front.jpg,level_2_rot_image_0046_front.jpg,arrowman_1,20.0,290.0,360,28,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_047_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0047_front.jpg,level_2_rot_image_0047_front.jpg,arrowman_1,20.0,290.0,304,132,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_048_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0048_front.jpg,level_2_rot_image_0048_front.jpg,arrowman_1,20.0,290.0,276,177,right,top,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_049_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0049_front.jpg,level_2_rot_image_0049_front.jpg,arrowman_1,20.0,290.0,353,138,right,top,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_050_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0050_front.jpg,level_2_rot_image_0050_front.jpg,arrowman_1,20.0,20.0,245,132,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_051_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0051_front.jpg,level_2_rot_image_0051_front.jpg,arrowman_1,20.0,20.0,345,127,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_052_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0052_front.jpg,level_2_rot_image_0052_front.jpg,arrowman_1,20.0,20.0,261,166,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_053_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0053_front.jpg,level_2_rot_image_0053_front.jpg,arrowman_1,20.0,20.0,272,125,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_054_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0054_front.jpg,level_2_rot_image_0054_front.jpg,arrowman_1,20.0,20.0,286,80,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_055_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0055_front.jpg,level_2_rot_image_0055_front.jpg,arrowman_1,20.0,20.0,243,140,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_056_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0056_front.jpg,level_2_rot_image_0056_front.jpg,arrowman_1,20.0,20.0,311,90,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_057_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0057_front.jpg,level_2_rot_image_0057_front.jpg,arrowman_1,20.0,20.0,271,158,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_058_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0058_front.jpg,level_2_rot_image_0058_front.jpg,arrowman_1,20.0,20.0,327,62,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_059_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0059_front.jpg,level_2_rot_image_0059_front.jpg,arrowman_1,20.0,20.0,310,187,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_060_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0060_front.jpg,level_2_rot_image_0060_front.jpg,arrowman_1,20.0,110.0,342,179,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_061_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0061_front.jpg,level_2_rot_image_0061_front.jpg,arrowman_1,20.0,110.0,344,76,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_062_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0062_front.jpg,level_2_rot_image_0062_front.jpg,arrowman_1,20.0,110.0,275,96,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_063_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0063_front.jpg,level_2_rot_image_0063_front.jpg,arrowman_1,20.0,110.0,227,156,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_064_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0064_front.jpg,level_2_rot_image_0064_front.jpg,arrowman_1,20.0,110.0,361,146,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_065_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0065_front.jpg,level_2_rot_image_0065_front.jpg,arrowman_1,20.0,110.0,348,161,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_066_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0066_front.jpg,level_2_rot_image_0066_front.jpg,arrowman_1,20.0,110.0,333,186,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_067_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0067_front.jpg,level_2_rot_image_0067_front.jpg,arrowman_1,20.0,110.0,338,156,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_068_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0068_front.jpg,level_2_rot_image_0068_front.jpg,arrowman_1,20.0,110.0,322,48,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_069_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0069_front.jpg,level_2_rot_image_0069_front.jpg,arrowman_1,20.0,110.0,316,77,right,top,front,figure_perspective,W,w,E,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_070_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0070_front.jpg,level_2_rot_image_0070_front.jpg,arrowman_1,20.0,200.0,356,131,right,top,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_071_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0071_front.jpg,level_2_rot_image_0071_front.jpg,arrowman_1,20.0,200.0,348,154,right,top,front,figure_perspective,3,3,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_072_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0072_front.jpg,level_2_rot_image_0072_front.jpg,arrowman_1,20.0,200.0,278,90,right,top,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_073_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0073_front.jpg,level_2_rot_image_0073_front.jpg,arrowman_1,20.0,200.0,299,128,right,top,front,figure_perspective,3,3,W,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_074_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0074_front.jpg,level_2_rot_image_0074_front.jpg,arrowman_1,20.0,200.0,259,153,right,top,front,figure_perspective,3,3,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_075_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0075_front.jpg,level_2_rot_image_0075_front.jpg,arrowman_1,20.0,200.0,254,142,right,top,front,figure_perspective,3,3,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_076_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0076_front.jpg,level_2_rot_image_0076_front.jpg,arrowman_1,20.0,200.0,319,185,right,top,front,figure_perspective,3,3,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_077_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0077_front.jpg,level_2_rot_image_0077_front.jpg,arrowman_1,20.0,200.0,353,214,right,bottom,front,figure_perspective,3,3,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_078_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0078_front.jpg,level_2_rot_image_0078_front.jpg,arrowman_1,20.0,200.0,300,194,right,bottom,front,figure_perspective,3,3,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_079_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0079_front.jpg,level_2_rot_image_0079_front.jpg,arrowman_1,20.0,200.0,358,49,right,top,front,figure_perspective,3,3,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_080_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0080_front.jpg,level_2_rot_image_0080_front.jpg,arrowman_1,30.0,300.0,291,187,right,top,front,figure_perspective,M,m,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_081_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0081_front.jpg,level_2_rot_image_0081_front.jpg,arrowman_1,30.0,300.0,261,156,right,top,front,figure_perspective,M,m,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_082_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0082_front.jpg,level_2_rot_image_0082_front.jpg,arrowman_1,30.0,300.0,338,118,right,top,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_083_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0083_front.jpg,level_2_rot_image_0083_front.jpg,arrowman_1,30.0,300.0,280,166,right,top,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_084_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0084_front.jpg,level_2_rot_image_0084_front.jpg,arrowman_1,30.0,300.0,294,105,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_085_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0085_front.jpg,level_2_rot_image_0085_front.jpg,arrowman_1,30.0,300.0,306,24,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_086_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0086_front.jpg,level_2_rot_image_0086_front.jpg,arrowman_1,30.0,300.0,270,106,right,top,front,figure_perspective,M,m,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_087_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0087_front.jpg,level_2_rot_image_0087_front.jpg,arrowman_1,30.0,300.0,230,152,right,top,front,figure_perspective,M,m,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_088_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0088_front.jpg,level_2_rot_image_0088_front.jpg,arrowman_1,30.0,300.0,280,88,right,top,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_089_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0089_front.jpg,level_2_rot_image_0089_front.jpg,arrowman_1,30.0,300.0,269,85,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_090_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0090_front.jpg,level_2_rot_image_0090_front.jpg,arrowman_1,30.0,30.0,321,88,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_091_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0091_front.jpg,level_2_rot_image_0091_front.jpg,arrowman_1,30.0,30.0,335,22,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_092_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0092_front.jpg,level_2_rot_image_0092_front.jpg,arrowman_1,30.0,30.0,363,128,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_093_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0093_front.jpg,level_2_rot_image_0093_front.jpg,arrowman_1,30.0,30.0,296,169,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_094_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0094_front.jpg,level_2_rot_image_0094_front.jpg,arrowman_1,30.0,30.0,275,121,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_095_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0095_front.jpg,level_2_rot_image_0095_front.jpg,arrowman_1,30.0,30.0,268,103,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_096_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0096_front.jpg,level_2_rot_image_0096_front.jpg,arrowman_1,30.0,30.0,354,114,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_097_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0097_front.jpg,level_2_rot_image_0097_front.jpg,arrowman_1,30.0,30.0,358,90,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_098_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0098_front.jpg,level_2_rot_image_0098_front.jpg,arrowman_1,30.0,30.0,348,114,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_099_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0099_front.jpg,level_2_rot_image_0099_front.jpg,arrowman_1,30.0,30.0,319,70,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_1000_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_1000_front.jpg,level_2_rot_image_1000_front.jpg,arrowman_1,260.0,170.0,183,319,left,bottom,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_1001_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_1001_front.jpg,level_2_rot_image_1001_front.jpg,arrowman_1,260.0,170.0,87,332,left,bottom,front,figure_perspective,M,m,W,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_1002_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_1002_front.jpg,level_2_rot_image_1002_front.jpg,arrowman_1,260.0,170.0,175,330,left,bottom,front,figure_perspective,M,m,W,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_1003_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_1003_front.jpg,level_2_rot_image_1003_front.jpg,arrowman_1,260.0,170.0,96,318,left,bottom,front,figure_perspective,M,m,W,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_1004_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_1004_front.jpg,level_2_rot_image_1004_front.jpg,arrowman_1,260.0,170.0,121,282,left,bottom,front,figure_perspective,M,m,M,openai/gpt-4o-mini
